data_entrada,direcao,entrada,stop,take,resultado_percentual,resultado_reais,regime
2026-01-27 08:00:00+00:00,VENDA,88276.24979500001,88925.224795,87302.78729500002,-1.1777587538479126,-117.77587538479126,BEAR
2026-02-03 17:00:00+00:00,VENDA,76449.83596000001,77596.9052457143,74729.23203142859,1.4146946132397225,139.80329235920766,BEAR
2026-02-07 05:00:00+00:00,VENDA,70732.61600000001,72461.70564285715,68138.9815357143,1.4481624576558443,145.13523854859923,BEAR
2026-02-09 09:00:00+00:00,VENDA,69838.513275,71000.37148928571,68095.72595357144,-1.0790543446655525,-109.70921036363464,BEAR
2026-03-01 17:00:00+00:00,VENDA,66102.382275,67013.27763214285,64736.03923928571,-1.0952538672571575,-110.15464780569631,BEAR
2026-05-24 10:00:00+00:00,VENDA,76982.02973,77545.46615857142,76136.87508714285,1.3237046420706504,131.67285594120867,BEAR
2026-06-07 14:00:00+00:00,VENDA,61669.289930000006,62433.717787142865,60522.648144285726,-1.105792257527408,-111.4524881805171,BEAR
2026-06-08 06:00:00+00:00,VENDA,62732.608005,63743.52014785714,61216.23979071429,-1.081584696179432,-107.80716187862896,BEAR
2026-06-21 08:00:00+00:00,VENDA,64158.96447,64403.83947,63791.65197,-1.3415617032318063,-132.27412028436032,BEAR
2026-06-21 12:00:00+00:00,VENDA,64143.912000000004,64450.46807142858,63684.077892857145,1.2292959446784835,119.57899941623988,BEAR
2026-07-02 02:00:00+00:00,VENDA,60145.82204500001,61026.73775928572,58824.448473571436,-1.089673276191877,-107.30031146926252,BEAR
